date,amount,category,description
01-07-2024,2000,Expense,Groceries
01-07-2024,1500,Income,Freelance
02-07-2024,3000,Expense,Rent
02-07-2024,500,Expense,Utilities
03-07-2024,0,Expense,None
04-07-2024,2500,Income,Investment
05-07-2024,3000,Expense,Entertainment
05-07-2024,1000,Expense,Transport
06-07-2024,0,Income,None
07-07-2024,0,Expense,None
08-07-2024,3500,Income,Freelance
08-07-2024,800,Expense,Coffee
09-07-2024,1000,Expense,Utilities
10-07-2024,0,Income,None
11-07-2024,2000,Expense,Groceries
12-07-2024,30000,Income,Salary
12-07-2024,500,Expense,Utilities
13-07-2024,1500,Income,Investment
14-07-2024,0,Expense,None
15-07-2024,3000,Expense,Rent
16-07-2024,1000,Expense,Transport
16-07-2024,1500,Income,Freelance
17-07-2024,2500,Expense,Groceries
17-07-2024,1200,Expense,Entertainment
18-07-2024,0,Income,None
19-07-2024,3000,Income,Freelance
19-07-2024,700,Expense,Coffee
20-07-2024,0,Expense,None
21-07-2024,5000,Income,Bonus
22-07-2024,2000,Expense,Groceries
22-07-2024,800,Expense,Transport
23-07-2024,0,Income,None
24-07-2024,2500,Income,Freelance
25-07-2024,1500,Expense,Utilities
25-07-2024,3000,Expense,Rent
26-07-2024,1000,Expense,Entertainment
26-07-2024,2000,Income,Investment
27-07-2024,0,Income,None
28-07-2024,3000,Expense,Groceries
28-07-2024,800,Expense,Transport
29-07-2024,0,Income,None
30-07-2024,5000,Income,Freelance
30-07-2024,1000,Expense,Utilities
31-07-2024,30000,Income,Salary
